name,abstract_logic,code_generation,creative_writing,knowledge_qa,speed_metric,technical_reasoning,total_score,speed_tps
nvidia-nemotron-labs-3-elastic-12b-a2b.i1-q5_k_m,14,18,10,0,25,18,85,88.20
nvidia-nemotron-labs-3-elastic-12b-a2b.i1-q4_k_m,14,18,9,0,25,18,84,86.06
nvidia-nemotron-labs-3-elastic-30b-a3b-bf16.i1-iq4_xs,14,15,9,2,18,18,76,43.42
gemma-4-e2b-uncensored-hauhaucs-aggressive-q6_k_p,14,17,8,0,18,18,75,44.41
gemma-4-e2b-uncensored-hauhaucs-aggressive-q8_k_p,14,12,10,0,21,18,75,51.85
nvidia-nemotron-labs-3-elastic-12b-a2b.i1-q6_k,6,18,8,0,25,18,75,75.73
Hermes-3-Llama-3.1-8B.Q4_K_M,12,18,6,7,14,16,73,34.40
qwen3.5-9b-claude-4.6-os-av-h-uncensored-think-d_au-q4_k_m-imat,14,18,10,1,12,18,73,29.16
Qwopus3.6-35B-A3B-v1-IQ4_XS,14,18,10,0,13,18,73,33.39
gemma-4-e2b-uncensored-hauhaucs-aggressive-q5_k_p,14,9,10,0,21,18,72,51.78
qwopus3.5-9b-coder-exp-q4_k_m,12,17,10,3,12,18,72,29.18
gemma-4-e4b-uncensored-hauhaucs-aggressive-q5_k_p,14,15,10,2,13,17,71,33.37
gemma-4-e4b-uncensored-hauhaucs-aggressive-q6_k_p,13,15,8,5,12,18,71,29.80
gemma-4-e4b-uncensored-hauhaucs-aggressive-q8_k_p,14,12,10,2,14,18,70,34.93
huihui-qwen3-coder-30b-a3b-instruct-abliterated.i1-iq4_xs,14,18,5,2,13,18,70,33.15
gemma-4-e4b-uncensored-hauhaucs-aggressive-q5_k_m,14,15,6,3,13,18,69,33.33
DeepSeek-R1-Distill-Qwen-32B-IQ3_M.gguf,10,18,10,10,1,18,67,3.00
gemma-4-26b-a4b-it-ud-iq4_xs,14,12,10,0,13,18,67,31.50
granite-4.1-8b-Q4_K_M,9,17,6,6,12,17,67,30.80
gemma-4-e4b-uncensored-hauhaucs-aggressive-q4_k_m,4,18,8,3,14,17,64,34.34
gemma-4-e4b-it.q4_k_m,14,14,0,3,14,18,63,34.41
Hermes-3-Llama-3.2-3B.Q5_K_M,13,3,9,4,25,9,63,60.80
qwen3.5-9b.q4_k_m,14,8,10,1,12,18,63,29.56
ornith-1.0-9b-q8_0,0,18,8,1,11,18,56,28.77
qwen3-coder-30b-a3b-instruct-iq4_xs,2,18,7,3,14,12,56,33.87
qwen3.5-9b-claude-highiq-thinking-heretic-uncensored-4.6-q4_k,0,17,9,0,12,18,56,29.31
huihui-qwen3-coder-30b-a3b-instruct-abliterated.i1-q4_k_m,3,18,6,2,11,15,55,27.87
gemma-3-12b-it-vl-HighIQ-Polaris-Heretic-Uncensored-Thinking.i1-Q4_K_M.gguf,10,10,10,2,12,10,54,30.00
qwythos-9b-claude-mythos-5-1m-q6_k,13,9,6,2,9,15,54,23.75
qwen3.5-9b-uncensored-hauhaucs-aggressive-q6_k,0,16,8,2,9,18,53,23.51
oh-dcft-v3.1-gpt-4o-mini.Q4_K_M,7,8,6,5,14,10,50,34.50
gemma-4-12b-it-q4_k_m,0,12,10,0,8,18,48,19.42
qwen3.5-9b-uncensored-hauhaucs-aggressive-q8_0,0,15,10,0,11,12,48,28.76
qwopus3.6-35b-a3b-v1-q3_k_l,0,18,0,6,12,12,48,30.81
qwen3.6-35b-a3b-ud-iq3_s,0,0,10,5,14,18,47,35.83
qwopus-glm-18b-healed-q4_k_m,0,14,8,0,6,18,46,16.35
gemma4-coding-q8_0,6,9,6,1,7,16,45,18.61
qwen3.5-27b.q4_k_m,14,0,10,2,1,18,45,4.01
qwen3.5-9b-uncensored-hauhaucs-aggressive-q4_k_m,0,3,10,2,12,18,45,29.21
vibethinker-3b.q8_0,14,0,4,0,22,4,44,53.45
deepreinforce-ai_ornith-1.0-35b-iq4_xs,0,0,10,3,12,18,43,30.76
l3.2-8x3b-moe-dark-champion-inst-18.4b-uncen-ablit_d_au-iq4_xs,3,4,4,3,20,9,43,50.09
gemma4-coding-q4_k_m,6,4,4,2,7,18,41,19.12
qwen3.6-35b-a3b-uncensored-hauhaucs-aggressive-iq3_m,0,0,10,0,13,18,41,32.42
qwythos-9b-claude-mythos-5-1m-q5_k_m,4,2,7,5,11,12,41,27.97
vibethinker-3b.q6_k,14,0,0,0,18,9,41,44.02
qwen3.6-28b-reap20-a3b-q4_k_m,0,0,7,3,12,18,40,31.11
qwen3.6-28b-reap20-a3b-q4_k_s,0,0,10,0,13,16,39,33.18
mistral-7b-instruct-v0.3.q4_k_m,0,6,3,8,15,6,38,38.11
nex-agi_nex-n2-mini-iq3_xs,14,0,0,0,12,12,38,28.80
qwythos-9b-claude-mythos-5-1m-q8_0,4,3,8,5,12,6,38,29.02
gemma4-v2-q8_0,4,13,5,2,7,6,37,18.58
gemma4-coding-q6_k,10,18,2,0,6,0,36,15.46
l3.2-8x3b-moe-dark-champion-inst-18.4b-uncen-ablit_d_au-q6_k,2,6,6,2,8,12,36,20.52
llama3.3-8b-instruct-thinking-heretic-uncensored-claude-4.5-opus-high-reasoning.i1-q4_k_m,3,12,4,0,13,4,36,31.23
l3.2-8x3b-moe-dark-champion-inst-18.4b-uncen-ablit_d_au-q5_k_m,0,4,3,2,14,12,35,35.57
meta-llama-3.1-8b-instruct-q5_k_m,0,6,6,7,9,7,35,23.81
phi-3.5-moe-instruct-iq3_xs,4,11,6,0,4,10,35,11.87
qwen3.6-14b-a3b-vibeforged-v2-q4_k_m,0,7,10,0,16,2,35,39.70
gemma-3-12b-it-qat-Q4_K_M.gguf,5,5,5,1,12,5,33,30.00
hermes-3-llama-3.1-8b.q8_0,0,5,5,3,13,7,33,33.05
deepseek-coder-v2-lite-instruct-q4_k_m,2,11,4,0,7,8,32,19.11
qwen3-14b-q4_k_m,0,0,10,1,8,13,32,19.97
phi-3.5-mini-instruct-q4_k_m,0,2,3,2,13,11,31,33.59
gemma-2-9b-it-q5_k_m,0,1,0,9,9,11,30,23.48
l3.2-8x3b-moe-dark-champion-inst-18.4b-uncen-ablit_d_au-q8_0,0,5,7,0,4,9,25,11.96
qwen3.6-28b-reap20-a3b-iq3_xxs,0,0,10,0,15,0,25,37.11
meta-llama-3.1-8b-instruct-q6_k_l,0,6,0,3,11,4,24,27.09
qwen-agentworld-35b-a3b-ud-iq4_xs,2,0,8,0,11,0,21,27.36
deepseek-r1-distill-qwen-7b-q8_0,0,0,1,0,14,3,18,33.95
gemma4-opus48-Q4_K_M.gguf,1,1,1,1,12,1,17,30.00
qwen2.5-coder-7b-instruct-q4_k_m.gguf,0,0,1,0,14,2,17,35.21
deepseek-r1-distill-qwen-7b-q6_k,0,0,0,0,11,0,11,26.49
starcoder2-15b-q4_k_m,0,0,0,0,7,2,9,17.58
